benchmark,L3 Misses,L3 DRead + DWrite,L3 DMisses,L3 LST Miss,L3 Access,"Max(L1, L2, L3) Misses",LST,PAPI FLOPs,kernel,preset,symbolic_volume_read_bytes,symbolic_volume_write_bytes,work,Symbolic Bytes
adi,27399626604.8,48077436934.4,27399626604.8,12068140825.6,93793866828.8,93268204793.6,28853670754.8,372006013.0,adi,L,3968860976.0,1192411360.0,372105613.0,5161272336.0
arc_distance,2760525964.8,288130579.2,2760525964.8,266815411.2,3324570790.4,3442112774.4,7315220732.8,1401887893.0,arc_distance,L,319999968.0,79999992.0,180000000.0,399999960.0
atax,20502065312.0,31382136550.4,20502065312.0,18575317324.8,55700878771.2,61120725126.4,20048301303.2,2000000000.0,atax,L,7999640000.0,359984.0,2000000000.0,7999999984.0
azimint_hist,0.0,0.0,0.0,0.0,0.0,234187983392.0,0.0,520884455.6,azimint_hist,L,4480063992.0,640056024.0,400005004.0,5120120016.0
bicg,40459687334.4,32157096883.2,40459687334.4,41429596940.8,57735218214.4,64936423590.4,20050853618.4,2000000000.0,bicg,L,7999640000.0,359984.0,2000000000.0,7999999984.0
cavity_flow,1914767097.6,3143793401.6,1914767097.6,480017292.8,8309818969.6,18080155174.4,11311088626.0,910942700.0,cavity_flow,L,5372344800.0,1503428000.0,910853100.0,6875772800.0
cholesky,58893067360.0,0.0,58893067360.0,15939065420.8,0.0,169477609068.8,35990556459.6,288872814.1,cholesky,L,1960215584.0,12981584.0,243405150.0,1973197168.0
compute,22646173273.6,2405613734.4,22646173273.6,2093262540.8,26467804691.2,26704347193.6,15443086796.8,0.0,compute,L,10239488016.0,2047744008.0,1024000000.0,12287232024.0
conv2d_bias,981228614.4,13525269107.2,981228614.4,402571724.8,31873665824.0,26129111014.4,21695287415.2,0.0,conv2d_bias,L,580837796.0,455994392.0,544688704.0,1036832188.0
covariance,112640421203.2,2623909913862.4,112640421203.2,213483439808.0,2625525413286.4,2625520433747.2,414180688489.2,41003639407.0,covariance,L,164218854400.0,348128000.0,41003528000.0,164566982400.0
deriche,8323595334.4,13301015052.8,8323595334.4,4611379622.4,26081541043.2,26092553427.2,12198658921.6,575811073.0,deriche,L,5181408768.0,2014944504.0,575811037.0,7196353272.0
durbin,18029881376.0,24237659782.4,18029881376.0,8218317542.4,59510866560.0,60073166528.0,19226236364.0,968071151.2,durbin,L,11200559984.0,4800879992.0,800039996.0,16001439976.0
fdtd_2d,260125331.2,424736928.0,260125331.2,35125222.4,9722904460.8,20934401376.0,13013282972.4,1185960750.0,fdtd_2d,L,6028698000.0,2582890800.0,1185960750.0,8611588800.0
gemm,0.0,0.0,0.0,0.0,0.0,35383035446169.6,0.0,840161000000.0,gemm,L,3083404040.0,1287648024.0,840161000000.0,4371052064.0
gemver,7613326534.4,5756540032.0,7613326534.4,2328096473.6,13295107622.4,17628001408.0,9666160476.4,900040000.0,gemver,L,3200559928.0,1600079976.0,900040000.0,4800639904.0
gesummv,8271937632.0,683333401.5999999,8271937632.0,113793433.6,9386197830.4,12558471680.0,11035294406.8,1176014000.0,gesummv,L,9407552000.0,3135887992.0,1176014000.0,12543439992.0
go_fast,5820602739.2,721451251.2,5820602739.2,840390860.8,6379867603.2,6397137088.0,3229897317.2,400731172.0,go_fast,L,6400320008.0,3200160016.0,400040000.0,9600480024.0
gramschmidt,23410796550.4,39239603948.8,23410796550.4,10324042521.6,84834793043.2,79118305542.4,23392879408.8,356832163.4,gramschmidt,L,3005608000.0,608593216.0,300175250.0,3614201216.0
hdiff,8428915654.4,1061954144.0,8428915654.4,968815219.2,9853263660.8,9854238246.4,5375462508.8,379088000.0,hdiff,L,1314421200.0,562206192.0,449682560.0,1876627392.0
heat_3d,3103657414.4,1023915936.0,3103657414.4,301732121.6,10321116576.0,20824823654.4,10419446728.0,933863040.0,heat_3d,L,996766848.0,952817184.0,933863040.0,1949584032.0
jacobi_1d,8402740755.2,10144760716.8,8402740755.2,680307737.6,22965811436.8,32672299110.4,24442579355.6,1733694012.0,jacobi_1d,L,4623320016.0,4623048048.0,1733694012.0,9246368064.0
jacobi_2d,2531818739.2,2710517996.8,2531818739.2,81635200.0,9817593785.6,23483119552.0,12193928137.6,969535960.0,jacobi_2d,L,1555705584.0,1546815856.0,969535960.0,3102521440.0
k2mm,0.0,0.0,0.0,0.0,0.0,44307755009664.0,0.0,1131132000000.0,k2mm,L,3153256056.0,1367580032.0,1131132000000.0,4520836088.0
k3mm,0.0,0.0,0.0,0.0,0.0,57079289391084.8,0.0,1501500000000.0,k3mm,L,1971384048.0,901704024.0,1501500000000.0,2873088072.0
ludcmp,30222079936.0,44517320940.8,30222079936.0,12123855193.6,103306685248.0,95930135289.6,27925647737.2,222868292.8,ludcmp,L,1479907000.0,10197184.0,183716325.0,1490104184.0
mlp,7278223417.6,929366242713.6,7278223417.6,14379080204.8,0.0,986969622963.2,403361004725.6,104.0,mlp,L,7208639820.0,6719836.0,28803120000.0,7215359656.0
mvt,11798816691.2,31166455884.8,11798816691.2,15361191552.0,37039316819.2,42958824032.0,19405781576.4,1936044000.0,mvt,L,7744351968.0,703968.0,1936044000.0,7745055936.0
resnet,899117414.4,1320450649.6,899117414.4,247691328.0,3337811161.6,18959587833.6,19262774656.0,0.0,resnet,L,3000983384.0,1226214736.0,913848960.0,4227198120.0
seidel_2d,1911896256.0,2910689286.4,1911896256.0,556708979.2,6739703040.0,6924838860.8,1833069966.8,13760604.0,seidel_2d,L,97914960.0,61096464.0,13760604.0,159011424.0
softmax,0.0,0.0,0.0,0.0,0.0,181667424192.0,0.0,2671771648.0,softmax,L,3024491400.0,1513935360.0,822083584.0,4538426760.0
symm,30284280556.8,38080675276.8,30284280556.8,9924424870.4,93306034924.8,92742370054.4,30596926826.0,163259700.1,symm,L,1360582808.0,277965608.0,135520000.0,1638548416.0
syr2k,32249884992.0,43807236876.8,32249884992.0,8274664153.6,114371544185.6,112943821920.0,29554921709.2,168500200.0,syr2k,L,1350883200.0,227441600.0,168500200.0,1578324800.0
syrk,21056726048.0,34471168524.8,21056726048.0,6181832563.2,76169672166.4,76816393542.4,22015994047.6,180780300.0,syrk,L,2173684800.0,727442400.0,180780300.0,2901127200.0
trisolv,7909263628.8,8071855795.200001,7909263628.8,3278750400.0,22132861555.2,22661483609.6,4437530304.4,282253357.6,trisolv,L,1568560000.0,672000.0,196000000.0,1569232000.0
trmm,59712814080.0,0.0,59712814080.0,18169228800.0,0.0,178863330784.0,29720358740.0,345264204.2,trmm,L,2016474408.0,1008232008.0,252000000.0,3024706416.0
vadv,2726232006.4,6053475212.799999,2726232006.4,2224829964.8,7230010598.4,11305292550.4,3889575464.0,154774800.0,vadv,L,904223272.0,573841544.0,154774800.0,1478064816.0
